outcome,outcome_label,model,horizon_months,derivation_dataset,validation_dataset,n_total_derivation,n_events_before_10y_derivation,n_controls_after_10y_derivation,n_censored_before_10y_derivation,auc_ipcw_derivation,threshold_ipcw,youden_ipcw_derivation,sensitivity_ipcw_derivation,specificity_ipcw_derivation,n_total_validation,n_events_before_10y_validation,n_controls_after_10y_validation,n_censored_before_10y_validation,auc_ipcw_validation,sensitivity_validation_at_derivation_cutoff,specificity_validation_at_derivation_cutoff,youden_validation_at_derivation_cutoff,youden_ipcw_validation_at_own_optimum,threshold_ipcw_validation_own_optimum,brier_score_ipcw_validation,calibration_slope_approx_validation,method
all_cause,All-cause mortality,GradientBoostingSurvival,120.0,training set,test set,8178,527,3787,3864,0.8858245937415158,0.07746522038517001,0.5934809449632286,0.7981284231781745,0.7953525217850541,3506,207,1664,1635,0.7911688024602356,0.6356864864969859,0.780048076923077,0.4157345634200629,0.4449371780967222,0.03984092810447448,0.06789382402055599,0.05793449581831096,Derive cutoff in training set; validate ROC/DCA/calibration in test set; risk = 1 - S(120 months)
cardiovascular,Cardiovascular mortality,RandomSurvivalForest,120.0,training set,test set,8178,129,3787,4262,0.9878214564462179,0.05471649432917636,0.8966489403286904,0.9687376649127939,0.9279112754158965,3506,48,1664,1794,0.7676861110335361,0.4272186961008633,0.9074519230769231,0.3346706191777864,0.396564795286253,0.010127438529051291,0.018827150908491283,0.00947232392367138,Derive cutoff in training set; validate ROC/DCA/calibration in test set; risk = 1 - S(120 months)
